model_a,model_b,p_raw,p_holm
【full】,【without CRM】,0.005062032126267864,0.07593048189401796
【full】,【without FRM】,0.005062032126267864,0.07593048189401796
【full】,【without IPM】,0.005062032126267864,0.07593048189401796
【full】,【without LayerNorm】,0.005062032126267864,0.07593048189401796
【full】,【without dropout】,0.0069104298078147995,0.07593048189401796
【without CRM】,【without FRM】,0.005062032126267864,0.07593048189401796
【without CRM】,【without IPM】,0.005062032126267864,0.07593048189401796
【without CRM】,【without LayerNorm】,0.005062032126267864,0.07593048189401796
【without CRM】,【without dropout】,0.005062032126267864,0.07593048189401796
【without FRM】,【without LayerNorm】,0.0069104298078147995,0.07593048189401796
【without FRM】,【without IPM】,0.021824275626053543,0.10912137813026772
【without FRM】,【without dropout】,0.07446183141740546,0.29784732566962185
【without IPM】,【without LayerNorm】,0.13941397332153205,0.41824191996459614
【without IPM】,【without dropout】,0.4445867389117455,0.569005395822415
【without LayerNorm】,【without dropout】,0.2845026979112075,0.569005395822415
