block,GBR,HPC-FLRNet,MLP,SVR,XGB
0,4.34461670530756,3.863466994431362,4.4084988996812475,5.777057415320888,4.35067545700529
1,3.877986370985126,4.021971040516972,4.5813972002856795,5.5129102866694115,3.851849867021706
2,4.538833468837277,3.984763366814026,5.1513605745102256,6.413064172581327,4.865947600255912
3,4.350218992061733,4.030134283292305,4.5864967484883605,5.939579972060748,4.450655526959079
4,4.286900569874836,4.059795844190795,4.884727268748299,5.742212014297083,4.2449368771637195
5,3.8705618757783053,3.9648379464590455,4.3497541630929115,5.328291594971941,3.982153340558715
6,3.239294791577303,3.993224685627836,4.481599010551779,5.594873238399587,3.3431484669098954
7,4.554567979823975,4.024345177844001,4.774908173977088,6.16147305550816,4.274077447828116
8,3.940793578501017,4.022796154632091,4.655533878655971,5.848447255645911,4.013874499599212
9,4.014028893888822,3.966360751293188,4.621391917564828,5.404307607122844,4.117002943260182
